"site_id","site_name","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","species_functional_type","individual_id","phenophase_id","phenophase_description","observation_date","day_of_year","phenophase_status","intensity_category_id","intensity_value","yr","class_id","class_name","intensity_name","intensity_type","intensity_midpoint","intensity_label"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-03-23",82,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-04-21",111,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-04-21",111,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-04-21",111,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-04-01",91,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-04-13",103,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-04-16",106,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-04-23",113,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-04-28",118,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-05-08",128,1,39,"101 to 1,000",2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",500,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-04-21",111,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-04-28",118,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-05-05",125,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-05-07",127,1,39,"Less than 3",2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",1,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-05-19",139,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-05-19",139,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
8182,"GRSM-PKnob Upper Plot",35.586998,-83.074631,1505,"NC",93,"Tilia","americana","American basswood","Deciduous broadleaf",23059,371,"Breaking leaf buds","2015-05-20",140,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
