"observedby_person_id","update_datetime","site_id","site_name","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","observation_date","day_of_year","phenophase_status","intensity_category_id","intensity_value","abundance_value","yr","class_id","class_name","intensity_name","intensity_type","intensity_midpoint","intensity_label"
522,NA,459,"PPN_9239908",36.524502,-92.751999,234,"MO",7,"Cercis","canadensis","eastern redbud","Plantae",635,371,"Breaking leaf buds","2020-03-01",61,0,39,NA,NA,2020,1,"Initial shoot or leaf growth",NA,NA,NA,NA
522,NA,459,"PPN_9239908",36.524502,-92.751999,234,"MO",7,"Cercis","canadensis","eastern redbud","Plantae",1272,371,"Breaking leaf buds","2020-03-01",61,0,39,NA,NA,2020,1,"Initial shoot or leaf growth",NA,NA,NA,NA
522,NA,459,"PPN_9239908",36.524502,-92.751999,234,"MO",7,"Cercis","canadensis","eastern redbud","Plantae",2690,371,"Breaking leaf buds","2020-03-01",61,0,39,NA,NA,2020,1,"Initial shoot or leaf growth",NA,NA,NA,NA
2724,"2020-01-16 13:43:40",2772,"My holler",36.440838,-84.323586,383,"TN",7,"Cercis","canadensis","eastern redbud","Plantae",6418,371,"Breaking leaf buds","2020-01-01",1,0,39,NA,NA,2020,1,"Initial shoot or leaf growth",NA,NA,NA,NA
2724,"2020-01-16 14:03:37",2772,"My holler",36.440838,-84.323586,383,"TN",7,"Cercis","canadensis","eastern redbud","Plantae",6418,371,"Breaking leaf buds","2020-01-04",4,0,39,NA,NA,2020,1,"Initial shoot or leaf growth",NA,NA,NA,NA
2724,"2020-01-16 14:03:37",2772,"My holler",36.440838,-84.323586,383,"TN",7,"Cercis","canadensis","eastern redbud","Plantae",6418,371,"Breaking leaf buds","2020-01-06",6,0,39,NA,NA,2020,1,"Initial shoot or leaf growth",NA,NA,NA,NA
2724,"2020-01-19 07:49:01",2772,"My holler",36.440838,-84.323586,383,"TN",7,"Cercis","canadensis","eastern redbud","Plantae",6418,371,"Breaking leaf buds","2020-01-10",10,0,39,NA,NA,2020,1,"Initial shoot or leaf growth",NA,NA,NA,NA
2724,"2020-01-19 07:49:01",2772,"My holler",36.440838,-84.323586,383,"TN",7,"Cercis","canadensis","eastern redbud","Plantae",6418,371,"Breaking leaf buds","2020-01-13",13,0,39,NA,NA,2020,1,"Initial shoot or leaf growth",NA,NA,NA,NA
2724,"2020-01-28 12:43:11",2772,"My holler",36.440838,-84.323586,383,"TN",7,"Cercis","canadensis","eastern redbud","Plantae",6418,371,"Breaking leaf buds","2020-01-17",17,0,39,NA,NA,2020,1,"Initial shoot or leaf growth",NA,NA,NA,NA
2724,"2020-01-28 12:43:11",2772,"My holler",36.440838,-84.323586,383,"TN",7,"Cercis","canadensis","eastern redbud","Plantae",6418,371,"Breaking leaf buds","2020-01-18",18,0,39,NA,NA,2020,1,"Initial shoot or leaf growth",NA,NA,NA,NA
