"site_id","site_name","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","species_functional_type","individual_id","phenophase_id","phenophase_description","observation_date","day_of_year","phenophase_status","intensity_category_id","intensity_value","yr","class_id","class_name","intensity_name","intensity_type","intensity_midpoint","intensity_label"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-08-14",226,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-08-17",229,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-08-20",232,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-08-23",235,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-08-26",238,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-08-29",241,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-09-01",244,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-09-04",247,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-09-07",250,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-09-10",253,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-09-13",256,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-09-16",259,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-09-19",262,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-09-22",265,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-09-25",268,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-09-28",271,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-10-01",274,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-10-04",277,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-10-07",280,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-10-10",283,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2015-10-13",286,0,39,NA,2015,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2016-04-07",98,0,39,NA,2016,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",NA,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2016-04-10",101,1,39,"Less than 3",2016,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",1,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2016-04-13",104,1,39,"Less than 3",2016,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",1,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2016-04-16",107,1,39,"Less than 3",2016,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",1,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2016-04-19",110,1,39,"Less than 3",2016,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",1,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2016-04-22",113,1,39,"Less than 3",2016,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",1,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2016-04-25",116,1,39,"3 to 10",2016,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",5,"No. breaking leaf buds"
53455,"Devilsclub-Road System 1",57.830166,-152.349869,25,"AK",944,"Oplopanax","horridus","devilsclub","Deciduous broadleaf",324369,371,"Breaking leaf buds","2016-04-28",119,1,39,"3 to 10",2016,1,"Initial shoot or leaf growth","Breaking leaf buds (10000)","number",5,"No. breaking leaf buds"
