Individual_ID,Scientific_Name,Plant_Nickname,Patch,Patch_Size,Shade_Status,Wild,Watered,Fertilized,Gender,Planting_Date,Plant_Comments,Plant_Registration_Date,Death_Date_Observed,Last_Date_Observed_Alive,Death_Reason,Death_Comments,Plant_Image_URL,Plant_Image_Upload_Date
117036,Carnegiea gigantea,saguaro-1,,,Full sun,1,0,0,,--,,2016-10-24,,,,,,
117037,Carnegiea gigantea,saguaro-2,,,Full sun,1,0,0,,--,,2016-10-24,,,,,,
117038,Carnegiea gigantea,saguaro-3,,,Full sun,1,0,0,,--,,2016-10-24,,,,,,
117039,Cylindropuntia acanthocarpa,buck-horn cholla-1,,,Full sun,1,0,0,,--,,2016-10-24,,,,,,
117040,Cylindropuntia acanthocarpa,buck-horn cholla-2,,,Full sun,1,0,0,,--,,2016-10-24,,2021-08-21,Drought,,,
117041,Cylindropuntia acanthocarpa,buck-horn cholla-3,,,Full sun,1,0,0,,--,,2016-10-24,2021-10-01,2021-09-28,Unknown,,,
117042,Senna covesii,desert senna-1,,,Full sun,1,0,0,,--,,2016-10-24,2017-08-15,,Unknown,short lived perennial,,
117043,Senna covesii,desert senna-2,,,Full sun,1,0,0,,--,,2016-10-24,2017-08-15,,Unknown,short lived perennial,,
117044,Senna covesii,desert senna-3,,,Full sun,1,0,0,,--,,2016-10-24,2018-06-07,,Drought,,,
117045,Yucca elata,soaptree yucca-1,,,Full sun,1,0,0,,--,,2016-10-24,,,,,,
117046,Yucca elata,soaptree yucca-2,,,Full sun,1,0,0,,--,,2016-10-24,,,,,,
117047,Yucca elata,soaptree yucca-3,,,Full sun,1,0,0,,--,,2016-10-24,,,Unknown,,,
117048,Prosopis velutina,velvet mesquite-1,,,Full sun,1,0,0,,--,,2016-10-24,,,,,,
117049,Prosopis velutina,velvet mesquite-2,,,Full sun,1,0,0,,--,,2016-10-24,,,,,,
117050,Prosopis velutina,velvet mesquite-3,,,Full sun,1,0,0,,--,,2016-10-24,,,,,,
117051,Simmondsia chinensis,jojoba-1 (Male),,,Full sun,1,0,0,Female,--,,2016-10-24,,,,,,
117052,Simmondsia chinensis,jojoba-2 (Male),,,Full sun,1,0,0,Male,--,,2016-10-24,,,,,,
117053,Carnegiea gigantea,saguaro-1,,,Full sun,1,0,0,,--,,2016-10-24,,,,,,
117054,Carnegiea gigantea,saguaro-2,,,Full sun,1,0,0,,--,,2016-10-24,,,,,,
117055,Carnegiea gigantea,saguaro-3,,,Full sun,1,0,0,,--,,2016-10-24,2024-03-14,,Drought,Fell over,,
