"observation_id","observedby_person_id","site_id","site_name","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","species_functional_type","individual_id","phenophase_id","phenophase_description","observation_date","day_of_year","phenophase_status","intensity_category_id","intensity_value"
43407735,-1624,55859,"SRER_060.phenology.phe - phenocam",31.911873,-110.835487,996,"AZ",317,"Prosopis","velutina","velvet mesquite","Drought deciduous broadleaf",343950,471,"Falling leaves","2015-02-11",42,1,-9999,"-9999"
43407725,-1624,55859,"SRER_060.phenology.phe - phenocam",31.911873,-110.835487,996,"AZ",317,"Prosopis","velutina","velvet mesquite","Drought deciduous broadleaf",343950,483,"Leaves","2015-02-11",42,1,40,"5-24%"
43407721,-1624,55859,"SRER_060.phenology.phe - phenocam",31.911873,-110.835487,996,"AZ",317,"Prosopis","velutina","velvet mesquite","Drought deciduous broadleaf",343950,484,"Young leaves (tree/shrub)","2015-02-11",42,0,-9999,"-9999"
43407739,-1624,55859,"SRER_060.phenology.phe - phenocam",31.911873,-110.835487,996,"AZ",317,"Prosopis","velutina","velvet mesquite","Drought deciduous broadleaf",343950,498,"Colored leaves","2015-02-11",42,1,74,"5-24%"
43407732,-1624,55859,"SRER_060.phenology.phe - phenocam",31.911873,-110.835487,996,"AZ",317,"Prosopis","velutina","velvet mesquite","Drought deciduous broadleaf",343950,501,"Open flowers","2015-02-11",42,0,-9999,"-9999"
43407715,-1624,55859,"SRER_060.phenology.phe - phenocam",31.911873,-110.835487,996,"AZ",317,"Prosopis","velutina","velvet mesquite","Drought deciduous broadleaf",343951,471,"Falling leaves","2015-02-11",42,1,-9999,"-9999"
43407723,-1624,55859,"SRER_060.phenology.phe - phenocam",31.911873,-110.835487,996,"AZ",317,"Prosopis","velutina","velvet mesquite","Drought deciduous broadleaf",343951,483,"Leaves","2015-02-11",42,1,40,"5-24%"
43407734,-1624,55859,"SRER_060.phenology.phe - phenocam",31.911873,-110.835487,996,"AZ",317,"Prosopis","velutina","velvet mesquite","Drought deciduous broadleaf",343951,484,"Young leaves (tree/shrub)","2015-02-11",42,0,-9999,"-9999"
43407744,-1624,55859,"SRER_060.phenology.phe - phenocam",31.911873,-110.835487,996,"AZ",317,"Prosopis","velutina","velvet mesquite","Drought deciduous broadleaf",343951,498,"Colored leaves","2015-02-11",42,1,74,"5-24%"
43407717,-1624,55859,"SRER_060.phenology.phe - phenocam",31.911873,-110.835487,996,"AZ",317,"Prosopis","velutina","velvet mesquite","Drought deciduous broadleaf",343951,501,"Open flowers","2015-02-11",42,0,-9999,"-9999"
