"sspi","phenophase_id","species_id","additional_definition","active","startdate","stopdate","intensity_category_id"
1,312,288,"Also include observations of bumblebee individuals with a pollen basket containing pollen on their leg, even if they are seen away from flowers.",0,2010-03-01,2011-03-20,NA
2,296,288,"In bumblebees, males are usually much smaller than females, and mating can occur at rest (more typical) or in flight.",0,2010-03-01,2011-03-20,NA
3,344,264,"Mule deer young have spotted fur.",0,2010-03-01,2011-03-20,NA
4,344,270,"White-tailed deer young have spotted fur.",0,2010-03-01,2011-03-20,NA
9,283,229,"For the tiger salamander, this includes sexually mature, gilled individuals.",1,2010-03-01,NA,NA
11,201,174,"Because Medicago sativa reproductive parts may be difficult to see, a flower may be considered open when the petals separate from one another and open.",0,2009-03-01,2011-03-20,NA
12,202,174,"For Medicago sativa, a fruit is considered ripe when the coiled pod turns from green to brown.",0,2009-03-01,2011-03-20,NA
13,390,93,"In Tilia americana, a fruit is considered ripe when it has turned from green to brown or reddish-brown in color.",0,2009-03-01,2011-03-20,NA
14,501,79,"For Fagus grandifolia, the small petal-less flowers appear from the bud just after the newly emerging leaves, and the stamens or pistil become clearly visible once the flower &quot;opens&quot;.",0,2009-03-01,2011-03-20,NA
15,502,71,"For Corylus americana, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.",0,2009-03-01,2011-03-20,NA
16,390,91,"In Sorbus americana, a berry is considered ripe when it is orange-red to bright red in color.",0,2009-03-01,2011-03-20,NA
17,202,145,"For Ambrosia artimisiifolia, a fruit is considered ripe when it is a uniform tan color and no longer green.",0,2009-03-01,2011-03-20,NA
18,502,72,"For Corylus cornuta, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.",0,2009-03-01,2011-03-20,NA
19,371,105,"For Artemisia tridentata, primary new leaves develop along the main stem.",0,2009-03-01,2011-03-20,NA
20,390,105,"For Artemisia tridentata, a fruit is considered ripe when it has turned dark brown in color.",0,2009-03-01,2011-03-20,NA
21,390,87,"In Prunus emarginata, a fruit is considered ripe when it is dark red in color.",0,2009-03-01,2011-03-20,NA
22,202,169,"For Lewisia rediviva, the papery capsule is considered ripe when it has split and shiny black seeds are visible inside.",0,2009-03-01,2011-03-20,NA
23,390,28,"In Prunus serotina, a fruit is considered ripe when it is black in color.",0,2009-03-01,2011-03-20,NA
24,390,90,"In Sambucus nigra, a berry is considered ripe when it is dark blue to purple-black in color.",0,2009-03-01,2011-03-20,NA
25,501,80,"For Juglans nigra, male and female flowers are petal-less and the stamens or pistil becomes clearly visible once the flower &quot;opens&quot;.",0,2009-03-01,2011-03-20,NA
26,390,80,"In Juglans nigra, a fruit is considered ripe when it has turned brown in color.",0,2009-03-01,2011-03-20,NA
27,202,9,"For Clintonia borealis, a berry is considered ripe when it is dark blue in color.",0,2009-03-01,2011-03-20,NA
28,201,11,"For Cornus canadensis, ignore the four large, white bracts and watch for the opening of the small flowers in the center of the showy bracts.",0,2009-03-01,2011-03-20,NA
29,202,11,"For Cornus canadensis, a berry is considered ripe when it is bright red in color.",0,2009-03-01,2011-03-20,NA
30,502,101,"For Quercus macrocarpa, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.",0,2009-03-01,2011-03-20,NA
31,202,173,"For Maianthemum canadense, a berry is considered ripe when it is deep translucent red in color.",0,2009-03-01,2011-03-20,NA
32,390,64,"For Amelanchier canadensis, a fruit is considered ripe when it is dark purple or black in color.",0,2009-03-01,2011-03-20,NA
33,390,29,"In Prunus virginiana, a fruit is considered ripe when it is dark red or black in color.",0,2009-03-01,2011-03-20,NA
34,390,89,"In Rhamnus cathartica, a fruit is considered ripe when it is black in color.",0,2009-03-01,2011-03-20,NA
35,202,189,"For Taraxacum officinale, a fruit is considered ripe when the attached &quot;white fluff&quot; is visible.",0,2009-03-01,2011-03-20,NA
36,371,117,"For Larrea tridentata, new leaves are generally located at branch tips, and are a lighter shade of green than the older leaves on the plant.",0,2009-03-01,2011-03-20,NA
37,201,117,"For Larrea tridentata, when the flower first opens the anthers rest horizontally cupped in the petals, or even hang slightly below the flower between the petals.",0,2009-03-01,2011-03-20,NA
38,202,117,"For Larrea tridentata, a fruit is considered ripe when the green skin has turned dark brown and the fruit has split to show five clumped seeds that are covered with fuzzy white hairs.",0,2009-03-01,2011-03-20,NA
39,390,7,"For Cercis canadensis, a fruit is considered ripe when the seedpod has turned dark brown in color.",0,2009-03-01,2011-03-20,NA
