"wildlife_area","y2014","y2015","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024"
"LAKE LA SU AN",14,5.4,0.4,23.2,28.2,0.8,20.8,43.2,2.6,4.6,30
"DORSET",25.8,24.2,9.4,11,15.6,8.2,12.2,13.6,5.6,6,NA
"NEW LYME",14.2,17.4,9.2,7.44,12.8,12.6,14.6,13,5.2,2.6,NA
"MOSQUITO CREEK",42.6,28.8,18.4,10.4,21.6,18.2,18.4,20.2,11.6,7,NA
"OXBOW LAKE",3.2,3.4,4.2,3,8.4,10.6,17.4,31.4,18.4,13.4,22.4
"MILAN",4.6,2,2.2,0.4,0.6,4.8,2,0.8,1.2,4.6,6.2
"GRAND RIVER",7,3.6,2.2,10.2,9.2,33.2,16.4,8.8,10.4,NA,NA
"CAMP BELDEN",48,16,8,11,42,44.2,33.8,2,0.4,2.4,7.6
"BERLIN LAKE",0.8,1.4,4,1.2,1,4.2,1.6,0.2,0.8,2,1.6
"KILLDEER PLAINS",35.8,36.2,20,55.6,40.4,21.4,42,34.6,41,28,42.4
"KILLBUCK MARSH",18,8.8,12.6,17.2,5.2,16.4,13.2,12.8,NA,NA,NA
"HIGHLANDTOWN",11.6,11.6,22.4,17.6,15.6,13.6,86,40,7.32,18.4,68
"BIG ISLAND",23,49.4,16.8,45.6,44.8,27.2,25.8,18,36,14.2,16
"BEACH CITY",0.4,2.8,2.4,NA,14,53,16,38,30,30,NA
"BRUSH CREEK",17.8,24.2,32.4,29,11.6,1.6,40.8,20.8,12.8,11,46.6
"KOKOSING",4.4,4.8,1.2,2.4,3.4,46.2,2.2,51.4,6,33.2,7
"DELAWARE",25.8,13.2,11.8,12.2,8.2,24.2,17.6,15,13.8,9.4,37.2
"WOODBURY",2.12,0.72,25,13.8,13,8.4,43.4,24.8,11.2,1.6,15
"EGYPT VALLEY",20.8,5.2,13,22.4,11.8,10.6,26.6,12.6,12.6,3.6,13.6
"SALT FORK",24.2,15,2.4,56,12.4,20.6,19.2,21,10.8,4.6,1.2
"MONROE LAKE",6.6,3.6,16,32,7.6,17.4,28.2,13,9.2,2.8,7.2
"WOODLAND TRAILS",20.2,12.6,0,6,10,8,10.4,8,5.4,9.2,11
"ALES RUN",39,13.8,20.6,15.8,23,47.4,69.4,26,1.2,27,28
"DEER CREEK",2,0,2.2,0.6,0.8,0.4,0.4,0,0.4,0.2,0.8
"WOLF CREEK",39,9,8.4,21.2,23.8,29.8,42.2,31.2,6,18.2,33.6
"TRIMBLE",44.6,3.6,7.8,35,30,39.6,60,41.8,3.6,14.8,39.4
"PLEASANT VALLEY",6.2,0,0.6,1,0.2,1,1.6,2,4,17,NA
"ROSS LAKE",35.8,2,37,27.4,14.8,23,55,6.2,NA,12.4,5.8
"WATERLOO",41.6,10,6.4,12.4,12.6,35,51.6,25,2.8,6.6,28.4
"ACADIA CLIFFS",37.6,4.6,14.8,11.4,8.8,53.4,52.4,27,8.4,32,37.4
"FALLSVILLE",3.2,15.6,8.8,20.6,11.6,53.8,25.32,0.8,40.8,63.6,17.4
"FOX LAKE",32.64,6,2.6,32.8,2.2,41.8,39.2,4,1,11.8,26.2
"WELLSTON",39.8,3.8,28.2,27.2,10.6,48.6,38.4,11.6,15.8,18,28
"EAST FORK",40.4,1.2,32.8,0.48,7.2,22.8,31,2.4,1.2,24.6,14.4
"TRANQUILITY",7.2,3.6,2.8,36.6,10.4,36.6,33.8,4.4,7.2,36.6,34
"COOPER HOLLOW",73.4,0,23.2,61.2,30.8,59.8,68,25.4,11,37,42.4
"TYCOON LAKE",61.4,0,6,41.8,13.4,58,66,10.8,5.6,48,41.6
"CROWN CITY",58.4,0.6,23.4,57.4,21.8,72.4,70.6,17.2,18.8,14,35.8
