"wildlife_area","y2014","y2015","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024"
"LAKE LA SU AN",2,0.2,2,4.4,15.6,0.4,0.4,7.6,0.6,6.8,1
"DORSET",7.6,8.2,4.4,5.4,10.8,3.4,7,7.8,4.28,3.4,NA
"NEW LYME",7.2,13,6,3.8,8.6,2.8,5,9.6,4.4,2.8,NA
"MOSQUITO CREEK",23.4,15.2,4.6,4,18.6,5.4,5.6,13,3.6,5,NA
"OXBOW LAKE",1.6,1.4,2.4,2,3.4,3,1.6,2.8,7,2.6,10
"MILAN",6.8,3.6,3.6,0.6,4,0.6,0,3.6,0.2,1.8,0.4
"GRAND RIVER",3.6,2.8,4.8,2.4,4,2.4,3.6,5.6,4.4,NA,NA
"CAMP BELDEN",29,14,10,0,36,0,6.6,1.6,0.4,1.7,1.2
"BERLIN LAKE",2.8,3.6,5.4,1.6,9.6,0.8,0.8,2.2,1.4,4,4.2
"KILLDEER PLAINS",42.9,5.4,13,22.4,29.6,2,10,23.4,8,18.6,10.8
"KILLBUCK MARSH",5.8,6.4,7.6,13.6,8.4,11.6,8.8,11.8,NA,NA,NA
"HIGHLANDTOWN",5.6,1.6,9.2,10.2,16.4,0.4,0.8,7,4.8,19.4,4.8
"BIG ISLAND",35.6,4.2,6.4,34.8,4.6,1.8,8.8,7,3.4,11.2,3.4
"BEACH CITY",3.4,3.2,9.2,NA,50,17,10,46,24,20,NA
"BRUSH CREEK",19.6,1.6,10.6,4.8,28,1.4,2.2,9.4,7.6,18.6,2.6
"KOKOSING",4.8,1.8,7.6,7.4,19.6,2,24,2.6,25.4,9.8,18.2
"DELAWARE",18.2,3.2,7,7.8,12.6,4.4,7.2,10,8,2.8,3.6
"WOODBURY",8,0.4,1.5,0,15.4,0,0,1.6,8.4,0.4,1.6
"EGYPT VALLEY",16.8,4.6,8.4,17.6,23,3.8,4.6,7,8.2,4.2,10.2
"SALT FORK",23.8,5.6,12.6,34.6,35.2,6,7.8,11,13.8,3.8,4.6
"MONROE LAKE",4.6,5.8,7.8,30.8,19,4.8,8.2,10,5.4,0,5.2
"WOODLAND TRAILS",7,13.2,0.4,4.6,8.8,7.4,9.8,7.4,5.4,7.4,5.625
"ALES RUN",13,1,11.4,2,52.8,0.6,2.4,26.8,7.8,2.6,20.2
"DEER CREEK",1,0,0,0,0.6,0.6,0.4,0,0.4,0,0
"WOLF CREEK",9.4,0.4,6.6,3.8,34,0.6,0.2,3,13,4.6,4.6
"TRIMBLE",38.6,1.4,2.2,2.2,17.6,1.8,3.4,18,11,9.2,5.2
"PLEASANT VALLEY",0.2,0.6,0.2,0,0.4,0.2,0.2,1,7.2,12,NA
"ROSS LAKE",15.4,0.6,15.2,2,13,0,7.44,3.6,NA,13.8,3
"WATERLOO",36,0.4,2.6,0.6,16.8,4,7.4,29.4,7,10,0.6
"ACADIA CLIFFS",19,0.4,19.2,2.8,18.2,0.6,1.2,10.8,14.4,1.2,6.8
"FALLSVILLE",1.6,0.8,4.6,0.4,2.8,0.4,0.6,12.2,8.2,6.8,0
"FOX LAKE",31.8,1.2,1.2,1.2,1.8,0.6,7.8,3.8,4.6,6,0.8
"WELLSTON",42.6,1,15.2,0,23.8,0.8,24.4,8.2,22,4.2,9.4
"EAST FORK",21.8,8.2,9.4,0.2,9.2,2.6,19.6,12.2,2,50,8.6
"TRANQUILITY",0.4,3,4.4,0.2,8.6,0.4,12.2,0.4,28,0.6,1.4
"COOPER HOLLOW",17.8,8.8,14.6,4.2,10.8,19,0,26,2.4,25,4
"TYCOON LAKE",7.8,6,2.2,4,0.4,12.4,0,11.4,12,15.6,0.6
"CROWN CITY",5,33.6,12,33.4,3,35,1,16.8,43.8,7,12.4
