"wildlife_area","y2014","y2015","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024"
"LAKE LA SU AN",28,4,32,44,84,8,8,68,12,28,20
"DORSET",72,56,28,40,52,20,28,36,28,36,NA
"NEW LYME",64,48,28,20,40,16,24,44,28,32,NA
"MOSQUITO CREEK",76,56,20,24,60,28,36,56,36,56,NA
"OXBOW LAKE",24,28,40,32,56,40,28,32,36,24,56
"MILAN",96,40,52,12,48,12,0,44,4,32,8
"GRAND RIVER",28,52,40,36,52,36,52,36,40,NA,NA
"CAMP BELDEN",60,28,20,0,64,0,48,28,8,16,12
"BERLIN LAKE",20,44,36,24,40,8,16,24,12,48,56
"KILLDEER PLAINS",96,40,64,68,88,16,56,80,68,72,52
"KILLBUCK MARSH",40,44,32,36,44,48,48,48,NA,NA,NA
"HIGHLANDTOWN",40,16,44,36,68,4,8,28,28,56,40
"BIG ISLAND",88,64,44,84,64,32,56,72,56,72,24
"BEACH CITY",24,36,64,NA,84,36,20,88,48,48,NA
"BRUSH CREEK",68,28,72,44,92,20,28,48,44,64,36
"KOKOSING",44,24,68,60,72,28,76,32,96,76,80
"DELAWARE",92,32,40,60,60,52,36,80,48,24,24
"WOODBURY",64,24,32,0,56,0,0,20,28,8,28
"EGYPT VALLEY",44,24,32,40,52,12,16,24,36,68,76
"SALT FORK",60,24,40,64,56,24,36,32,40,48,52
"MONROE LAKE",20,48,36,60,52,24,28,28,20,0,24
"WOODLAND TRAILS",88,80,8,52,56,64,60,60,56,60,44
"ALES RUN",64,16,52,24,84,12,12,64,68,36,68
"DEER CREEK",16,0,0,0,12,12,8,0,8,0,0
"WOLF CREEK",60,8,40,16,76,8,4,20,56,28,36
"TRIMBLE",92,20,36,28,64,8,16,48,52,48,20
"PLEASANT VALLEY",4,8,4,0,8,4,4,4,36,32,NA
"ROSS LAKE",36,4,44,4,24,0,16,8,NA,44,12
"WATERLOO",100,4,32,8,60,40,28,76,32,72,12
"ACADIA CLIFFS",52,8,60,20,60,12,20,44,68,16,68
"FALLSVILLE",16,16,24,8,16,4,8,36,28,32,0
"FOX LAKE",72,24,16,4,28,12,52,16,28,64,16
"WELLSTON",72,8,36,0,40,4,48,20,44,16,36
"EAST FORK",48,36,24,24,36,36,40,28,28,12,40
"TRANQUILITY",8,12,40,4,52,4,48,4,84,8,20
"COOPER HOLLOW",56,20,40,12,20,36,0,52,12,56,20
"TYCOON LAKE",32,20,16,12,4,40,0,36,16,60,4
"CROWN CITY",24,68,36,60,4,68,4,40,60,40,80
