PRISM Time Series Data
Locations: 125
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Daily 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Aug-14
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
30120,-110.7420,31.5733,1315,January-01,1.059,-0.92,7.40,15.73
30120,-110.7420,31.5733,1315,January-02,1.056,-0.80,7.54,15.88
30120,-110.7420,31.5733,1315,January-03,1.040,-0.68,7.67,16.03
30120,-110.7420,31.5733,1315,January-04,1.021,-0.59,7.79,16.17
30120,-110.7420,31.5733,1315,January-05,0.999,-0.53,7.88,16.30
30120,-110.7420,31.5733,1315,January-06,0.979,-0.49,7.96,16.40
30120,-110.7420,31.5733,1315,January-07,0.963,-0.47,8.01,16.49
30120,-110.7420,31.5733,1315,January-08,0.963,-0.47,8.04,16.55
30120,-110.7420,31.5733,1315,January-09,0.972,-0.47,8.07,16.60
30120,-110.7420,31.5733,1315,January-10,0.982,-0.48,8.09,16.66
30120,-110.7420,31.5733,1315,January-11,0.984,-0.49,8.12,16.73
30120,-110.7420,31.5733,1315,January-12,0.982,-0.51,8.14,16.80
30120,-110.7420,31.5733,1315,January-13,0.971,-0.52,8.17,16.86
30120,-110.7420,31.5733,1315,January-14,0.958,-0.53,8.19,16.91
30120,-110.7420,31.5733,1315,January-15,0.941,-0.53,8.20,16.93
30120,-110.7420,31.5733,1315,January-16,0.926,-0.52,8.20,16.93
30120,-110.7420,31.5733,1315,January-17,0.915,-0.51,8.21,16.92
30120,-110.7420,31.5733,1315,January-18,0.907,-0.50,8.21,16.91
30120,-110.7420,31.5733,1315,January-19,0.904,-0.48,8.21,16.91
30120,-110.7420,31.5733,1315,January-20,0.911,-0.47,8.22,16.90
30120,-110.7420,31.5733,1315,January-21,0.928,-0.45,8.22,16.89
30120,-110.7420,31.5733,1315,January-22,0.946,-0.44,8.22,16.88
30120,-110.7420,31.5733,1315,January-23,0.951,-0.44,8.22,16.87
30120,-110.7420,31.5733,1315,January-24,0.943,-0.44,8.21,16.86
30120,-110.7420,31.5733,1315,January-25,0.924,-0.45,8.20,16.85
30120,-110.7420,31.5733,1315,January-26,0.894,-0.45,8.19,16.83
30120,-110.7420,31.5733,1315,January-27,0.852,-0.46,8.18,16.82
30120,-110.7420,31.5733,1315,January-28,0.808,-0.48,8.17,16.82
30120,-110.7420,31.5733,1315,January-29,0.777,-0.50,8.18,16.85
30120,-110.7420,31.5733,1315,January-30,0.759,-0.52,8.20,16.92
30120,-110.7420,31.5733,1315,January-31,0.760,-0.53,8.24,17.01
30120,-110.7420,31.5733,1315,February-01,0.777,-0.53,8.29,17.11
30120,-110.7420,31.5733,1315,February-02,0.812,-0.50,8.35,17.19
30120,-110.7420,31.5733,1315,February-03,0.848,-0.45,8.41,17.26
30120,-110.7420,31.5733,1315,February-04,0.888,-0.37,8.48,17.33
30120,-110.7420,31.5733,1315,February-05,0.936,-0.26,8.57,17.40
