PRISM Time Series Data
Locations: 125
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2017-01-01 - 2017-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Aug-14
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
30120,-110.7420,31.5733,1315,2017-01-01,5.07,5.1,9.0,12.8
30120,-110.7420,31.5733,1315,2017-01-02,1.95,-2.8,3.6,10.0
30120,-110.7420,31.5733,1315,2017-01-03,0.00,-2.6,5.0,12.6
30120,-110.7420,31.5733,1315,2017-01-04,0.00,0.1,8.2,16.3
30120,-110.7420,31.5733,1315,2017-01-05,0.00,1.2,10.4,19.5
30120,-110.7420,31.5733,1315,2017-01-06,0.00,2.1,10.2,18.3
30120,-110.7420,31.5733,1315,2017-01-07,0.00,-0.3,7.5,15.3
30120,-110.7420,31.5733,1315,2017-01-08,0.00,-0.6,9.8,20.2
30120,-110.7420,31.5733,1315,2017-01-09,0.00,3.4,14.1,24.8
30120,-110.7420,31.5733,1315,2017-01-10,0.00,4.7,14.5,24.4
30120,-110.7420,31.5733,1315,2017-01-11,0.00,1.3,11.1,20.9
30120,-110.7420,31.5733,1315,2017-01-12,0.00,-0.4,9.9,20.2
30120,-110.7420,31.5733,1315,2017-01-13,0.00,-0.6,9.5,19.6
30120,-110.7420,31.5733,1315,2017-01-14,5.31,2.3,11.2,20.0
30120,-110.7420,31.5733,1315,2017-01-15,1.82,4.1,10.4,16.8
30120,-110.7420,31.5733,1315,2017-01-16,0.29,3.1,5.3,7.6
30120,-110.7420,31.5733,1315,2017-01-17,0.00,-0.3,5.5,11.3
30120,-110.7420,31.5733,1315,2017-01-18,0.00,-1.1,6.5,14.1
30120,-110.7420,31.5733,1315,2017-01-19,0.00,-1.1,6.7,14.4
30120,-110.7420,31.5733,1315,2017-01-20,12.39,0.3,6.8,13.3
30120,-110.7420,31.5733,1315,2017-01-21,4.40,5.3,8.1,10.8
30120,-110.7420,31.5733,1315,2017-01-22,0.00,-2.9,3.1,9.0
30120,-110.7420,31.5733,1315,2017-01-23,0.00,-2.7,6.7,16.1
30120,-110.7420,31.5733,1315,2017-01-24,2.54,1.1,8.9,16.6
30120,-110.7420,31.5733,1315,2017-01-25,0.00,-5.3,2.2,9.7
30120,-110.7420,31.5733,1315,2017-01-26,0.00,-7.1,0.9,9.0
30120,-110.7420,31.5733,1315,2017-01-27,0.00,-7.2,2.2,11.5
30120,-110.7420,31.5733,1315,2017-01-28,0.00,-5.6,2.4,10.3
30120,-110.7420,31.5733,1315,2017-01-29,0.00,-4.2,5.1,14.4
30120,-110.7420,31.5733,1315,2017-01-30,0.00,-1.4,8.3,18.0
30120,-110.7420,31.5733,1315,2017-01-31,0.00,-2.2,9.4,21.0
30120,-110.7420,31.5733,1315,2017-02-01,0.00,-2.5,9.3,21.1
30120,-110.7420,31.5733,1315,2017-02-02,0.00,-2.2,9.7,21.7
30120,-110.7420,31.5733,1315,2017-02-03,0.00,-0.5,10.8,22.1
30120,-110.7420,31.5733,1315,2017-02-04,0.00,-0.6,11.0,22.7
30120,-110.7420,31.5733,1315,2017-02-05,0.00,-1.4,11.1,23.5
30120,-110.7420,31.5733,1315,2017-02-06,0.00,0.8,11.8,22.8
30120,-110.7420,31.5733,1315,2017-02-07,0.00,1.3,10.1,18.9
30120,-110.7420,31.5733,1315,2017-02-08,0.00,0.7,9.7,18.7
30120,-110.7420,31.5733,1315,2017-02-09,0.00,1.9,12.3,22.8
30120,-110.7420,31.5733,1315,2017-02-10,0.00,3.3,16.5,29.8
30120,-110.7420,31.5733,1315,2017-02-11,0.00,5.1,16.9,28.6
30120,-110.7420,31.5733,1315,2017-02-12,0.39,5.0,15.1,25.2
30120,-110.7420,31.5733,1315,2017-02-13,0.00,5.5,13.3,21.1
30120,-110.7420,31.5733,1315,2017-02-14,0.00,2.0,8.5,15.0
30120,-110.7420,31.5733,1315,2017-02-15,0.00,2.4,9.3,16.2
30120,-110.7420,31.5733,1315,2017-02-16,0.00,-1.0,7.9,16.9
30120,-110.7420,31.5733,1315,2017-02-17,0.00,0.4,10.3,20.2
30120,-110.7420,31.5733,1315,2017-02-18,3.96,5.7,11.8,17.9
30120,-110.7420,31.5733,1315,2017-02-19,1.34,3.6,8.9,14.3
30120,-110.7420,31.5733,1315,2017-02-20,0.00,3.7,8.0,12.3
30120,-110.7420,31.5733,1315,2017-02-21,0.00,1.5,9.4,17.2
30120,-110.7420,31.5733,1315,2017-02-22,0.00,1.3,12.7,24.1
30120,-110.7420,31.5733,1315,2017-02-23,0.00,3.7,14.7,25.7
30120,-110.7420,31.5733,1315,2017-02-24,0.00,-3.2,7.0,17.2
30120,-110.7420,31.5733,1315,2017-02-25,0.00,-4.6,5.3,15.1
30120,-110.7420,31.5733,1315,2017-02-26,0.00,-4.4,6.7,17.8
30120,-110.7420,31.5733,1315,2017-02-27,0.00,-0.4,8.1,16.6
30120,-110.7420,31.5733,1315,2017-02-28,0.00,0.1,8.3,16.5
30120,-110.7420,31.5733,1315,2017-03-01,0.00,0.2,8.0,15.9
30120,-110.7420,31.5733,1315,2017-03-02,0.00,-1.4,8.8,19.1
30120,-110.7420,31.5733,1315,2017-03-03,0.00,-1.0,10.7,22.4
30120,-110.7420,31.5733,1315,2017-03-04,0.00,5.3,12.8,20.2
30120,-110.7420,31.5733,1315,2017-03-05,0.00,5.1,14.2,23.4
30120,-110.7420,31.5733,1315,2017-03-06,0.00,6.0,14.0,22.0
30120,-110.7420,31.5733,1315,2017-03-07,0.00,-0.5,9.7,19.8
30120,-110.7420,31.5733,1315,2017-03-08,0.00,-1.2,11.9,25.0
30120,-110.7420,31.5733,1315,2017-03-09,0.00,2.4,15.3,28.2
30120,-110.7420,31.5733,1315,2017-03-10,0.00,3.9,16.2,28.5
30120,-110.7420,31.5733,1315,2017-03-11,0.00,5.5,17.5,29.4
30120,-110.7420,31.5733,1315,2017-03-12,0.00,6.2,17.1,28.0
30120,-110.7420,31.5733,1315,2017-03-13,0.00,4.8,16.2,27.5
30120,-110.7420,31.5733,1315,2017-03-14,0.00,4.9,17.0,29.2
30120,-110.7420,31.5733,1315,2017-03-15,0.00,6.0,17.7,29.5
30120,-110.7420,31.5733,1315,2017-03-16,0.00,6.3,17.8,29.2
30120,-110.7420,31.5733,1315,2017-03-17,0.00,6.6,17.6,28.6
30120,-110.7420,31.5733,1315,2017-03-18,0.00,6.6,18.0,29.4
30120,-110.7420,31.5733,1315,2017-03-19,0.00,6.7,18.4,30.0
30120,-110.7420,31.5733,1315,2017-03-20,0.00,8.0,19.0,29.9
30120,-110.7420,31.5733,1315,2017-03-21,0.00,8.2,19.6,30.9
30120,-110.7420,31.5733,1315,2017-03-22,0.00,7.0,18.1,29.3
30120,-110.7420,31.5733,1315,2017-03-23,0.98,7.4,17.4,27.5
30120,-110.7420,31.5733,1315,2017-03-24,0.36,0.7,8.2,15.7
30120,-110.7420,31.5733,1315,2017-03-25,0.00,0.4,10.4,20.4
30120,-110.7420,31.5733,1315,2017-03-26,0.00,0.9,13.0,25.0
30120,-110.7420,31.5733,1315,2017-03-27,0.00,4.1,13.5,23.0
30120,-110.7420,31.5733,1315,2017-03-28,0.61,5.0,14.5,24.0
30120,-110.7420,31.5733,1315,2017-03-29,0.00,2.1,9.7,17.3
30120,-110.7420,31.5733,1315,2017-03-30,0.00,2.0,12.1,22.3
30120,-110.7420,31.5733,1315,2017-03-31,1.36,3.3,14.5,25.7
30120,-110.7420,31.5733,1315,2017-04-01,2.78,0.2,8.4,16.7
30120,-110.7420,31.5733,1315,2017-04-02,4.34,-0.7,8.1,16.9
30120,-110.7420,31.5733,1315,2017-04-03,0.00,1.9,11.2,20.5
30120,-110.7420,31.5733,1315,2017-04-04,0.00,3.8,13.5,23.1
30120,-110.7420,31.5733,1315,2017-04-05,0.00,2.3,11.7,21.1
30120,-110.7420,31.5733,1315,2017-04-06,0.00,2.2,14.3,26.4
30120,-110.7420,31.5733,1315,2017-04-07,0.00,5.4,17.4,29.3
30120,-110.7420,31.5733,1315,2017-04-08,0.00,5.5,17.1,28.6
30120,-110.7420,31.5733,1315,2017-04-09,0.00,5.4,17.0,28.6
