PRISM Time Series Data
Locations: 104
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Aug-06
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
8182,-83.0746,35.5870,1461,January,155.25,-4.3,0.6,5.6
8182,-83.0746,35.5870,1461,February,134.90,-3.1,2.1,7.3
8182,-83.0746,35.5870,1461,March,147.61,-0.3,5.0,10.3
8182,-83.0746,35.5870,1461,April,137.28,4.0,9.7,15.3
8182,-83.0746,35.5870,1461,May,125.95,9.1,14.0,18.9
8182,-83.0746,35.5870,1461,June,134.21,12.6,17.3,21.9
8182,-83.0746,35.5870,1461,July,144.89,14.7,19.1,23.4
8182,-83.0746,35.5870,1461,August,129.32,14.2,18.6,22.9
8182,-83.0746,35.5870,1461,September,124.73,11.5,16.1,20.7
8182,-83.0746,35.5870,1461,October,97.83,6.0,11.2,16.5
8182,-83.0746,35.5870,1461,November,116.25,0.8,6.0,11.2
8182,-83.0746,35.5870,1461,December,159.99,-2.2,2.2,6.7
8182,-83.0746,35.5870,1461,Annual,1608.19,5.3,10.2,15.1

8492,-82.8212,35.8909,408,January,93.37,-2.6,3.2,9.0
8492,-82.8212,35.8909,408,February,80.27,-1.0,5.1,11.2
8492,-82.8212,35.8909,408,March,101.14,2.3,9.0,15.8
8492,-82.8212,35.8909,408,April,99.35,6.7,14.0,21.3
8492,-82.8212,35.8909,408,May,113.63,11.9,18.8,25.6
8492,-82.8212,35.8909,408,June,130.02,16.4,22.7,29.0
8492,-82.8212,35.8909,408,July,124.46,18.5,24.6,30.7
8492,-82.8212,35.8909,408,August,119.28,17.9,24.1,30.4
8492,-82.8212,35.8909,408,September,89.90,14.6,21.2,27.8
8492,-82.8212,35.8909,408,October,61.53,7.9,15.0,22.0
8492,-82.8212,35.8909,408,November,73.11,2.0,8.8,15.7
8492,-82.8212,35.8909,408,December,94.26,-0.7,5.0,10.7
8492,-82.8212,35.8909,408,Annual,1180.32,7.8,14.3,20.8

8836,-83.5376,35.6866,490,January,122.69,-2.9,3.0,9.0
8836,-83.5376,35.6866,490,February,110.65,-1.6,4.9,11.3
8836,-83.5376,35.6866,490,March,140.25,1.7,8.8,15.9
8836,-83.5376,35.6866,490,April,125.25,5.9,13.5,21.1
8836,-83.5376,35.6866,490,May,140.68,10.9,17.7,24.6
8836,-83.5376,35.6866,490,June,155.75,15.3,21.6,27.9
8836,-83.5376,35.6866,490,July,162.85,17.3,23.4,29.4
8836,-83.5376,35.6866,490,August,112.69,16.7,22.8,29.0
8836,-83.5376,35.6866,490,September,110.32,13.5,19.9,26.3
8836,-83.5376,35.6866,490,October,80.89,6.9,14.0,21.1
8836,-83.5376,35.6866,490,November,104.25,1.1,8.3,15.5
8836,-83.5376,35.6866,490,December,130.48,-1.3,4.6,10.5
8836,-83.5376,35.6866,490,Annual,1496.74,6.9,13.5,20.1

8897,-83.5013,35.6884,629,January,127.20,-3.5,2.5,8.6
8897,-83.5013,35.6884,629,February,113.22,-2.1,4.4,10.8
8897,-83.5013,35.6884,629,March,141.91,0.9,7.9,14.9
8897,-83.5013,35.6884,629,April,127.89,5.1,12.7,20.2
8897,-83.5013,35.6884,629,May,138.97,9.9,16.8,23.8
8897,-83.5013,35.6884,629,June,155.81,14.2,20.6,27.0
8897,-83.5013,35.6884,629,July,161.92,16.3,22.4,28.5
8897,-83.5013,35.6884,629,August,116.59,15.7,21.9,28.0
8897,-83.5013,35.6884,629,September,112.42,12.5,19.0,25.5
8897,-83.5013,35.6884,629,October,83.74,5.9,13.1,20.4
8897,-83.5013,35.6884,629,November,107.23,0.5,7.7,14.9
8897,-83.5013,35.6884,629,December,133.07,-2.1,4.0,10.2
8897,-83.5013,35.6884,629,Annual,1519.98,6.1,12.8,19.4

8898,-83.5011,35.6888,629,January,127.20,-3.5,2.5,8.6
8898,-83.5011,35.6888,629,February,113.22,-2.1,4.4,10.8
8898,-83.5011,35.6888,629,March,141.91,0.9,7.9,14.9
8898,-83.5011,35.6888,629,April,127.89,5.1,12.7,20.2
8898,-83.5011,35.6888,629,May,138.97,9.9,16.8,23.8
8898,-83.5011,35.6888,629,June,155.81,14.2,20.6,27.0
8898,-83.5011,35.6888,629,July,161.92,16.3,22.4,28.5
8898,-83.5011,35.6888,629,August,116.59,15.7,21.9,28.0
8898,-83.5011,35.6888,629,September,112.42,12.5,19.0,25.5
8898,-83.5011,35.6888,629,October,83.74,5.9,13.1,20.4
8898,-83.5011,35.6888,629,November,107.23,0.5,7.7,14.9
8898,-83.5011,35.6888,629,December,133.07,-2.1,4.0,10.2
8898,-83.5011,35.6888,629,Annual,1519.98,6.1,12.8,19.4

8899,-83.4234,35.6105,1468,January,181.76,-5.4,-0.7,4.0
8899,-83.4234,35.6105,1468,February,153.31,-3.6,1.2,5.9
8899,-83.4234,35.6105,1468,March,184.44,-1.2,4.3,9.8
8899,-83.4234,35.6105,1468,April,176.83,3.4,9.2,15.0
8899,-83.4234,35.6105,1468,May,173.79,8.7,13.7,18.7
8899,-83.4234,35.6105,1468,June,197.37,12.3,17.0,21.6
8899,-83.4234,35.6105,1468,July,204.82,14.5,18.8,23.1
8899,-83.4234,35.6105,1468,August,170.02,13.9,18.2,22.5
8899,-83.4234,35.6105,1468,September,152.71,11.2,15.8,20.4
8899,-83.4234,35.6105,1468,October,126.29,5.8,10.7,15.5
8899,-83.4234,35.6105,1468,November,156.69,0.3,5.2,10.1
8899,-83.4234,35.6105,1468,December,182.46,-3.0,1.4,5.8
8899,-83.4234,35.6105,1468,Annual,2060.48,4.7,9.6,14.4

8902,-83.3099,35.5209,697,January,142.08,-3.7,2.8,9.2
8902,-83.3099,35.5209,697,February,132.19,-2.3,4.6,11.4
8902,-83.3099,35.5209,697,March,140.04,0.9,8.2,15.5
8902,-83.3099,35.5209,697,April,133.77,5.0,12.9,20.8
8902,-83.3099,35.5209,697,May,113.21,9.8,17.1,24.4
8902,-83.3099,35.5209,697,June,130.38,14.3,20.9,27.5
8902,-83.3099,35.5209,697,July,139.88,16.3,22.7,29.1
8902,-83.3099,35.5209,697,August,123.86,15.7,22.1,28.5
8902,-83.3099,35.5209,697,September,107.79,12.5,19.3,26.2
8902,-83.3099,35.5209,697,October,78.54,5.9,13.5,21.2
8902,-83.3099,35.5209,697,November,108.77,0.2,7.9,15.6
8902,-83.3099,35.5209,697,December,156.12,-2.3,4.2,10.7
8902,-83.3099,35.5209,697,Annual,1506.63,6.0,13.0,20.0

8903,-83.4334,35.4635,626,January,144.50,-3.5,2.9,9.2
8903,-83.4334,35.4635,626,February,132.30,-2.0,4.8,11.6
8903,-83.4334,35.4635,626,March,140.35,1.2,8.5,15.9
8903,-83.4334,35.4635,626,April,127.97,5.2,13.2,21.2
8903,-83.4334,35.4635,626,May,119.09,10.2,17.4,24.7
8903,-83.4334,35.4635,626,June,122.52,14.7,21.2,27.7
8903,-83.4334,35.4635,626,July,126.13,16.7,23.0,29.3
8903,-83.4334,35.4635,626,August,111.68,16.2,22.4,28.7
8903,-83.4334,35.4635,626,September,100.70,12.9,19.6,26.3
8903,-83.4334,35.4635,626,October,83.56,6.3,13.9,21.4
8903,-83.4334,35.4635,626,November,109.26,0.5,8.2,15.8
8903,-83.4334,35.4635,626,December,150.60,-1.8,4.5,10.8
8903,-83.4334,35.4635,626,Annual,1468.68,6.4,13.3,20.2

8904,-83.3033,35.5107,620,January,139.15,-3.4,3.0,9.3
8904,-83.3033,35.5107,620,February,129.90,-2.0,4.8,11.6
8904,-83.3033,35.5107,620,March,137.11,1.3,8.6,15.9
8904,-83.3033,35.5107,620,April,131.81,5.3,13.2,21.1
8904,-83.3033,35.5107,620,May,112.64,10.3,17.5,24.8
8904,-83.3033,35.5107,620,June,128.22,14.8,21.3,27.9
8904,-83.3033,35.5107,620,July,135.95,16.8,23.1,29.5
8904,-83.3033,35.5107,620,August,121.04,16.3,22.6,28.8
8904,-83.3033,35.5107,620,September,106.70,13.1,19.8,26.6
8904,-83.3033,35.5107,620,October,77.45,6.4,14.0,21.5
8904,-83.3033,35.5107,620,November,107.49,0.5,8.2,15.8
8904,-83.3033,35.5107,620,December,152.56,-1.8,4.5,10.9
8904,-83.3033,35.5107,620,Annual,1480.04,6.5,13.4,20.3

8981,-83.4066,35.7291,502,January,117.42,-2.9,3.0,8.9
8981,-83.4066,35.7291,502,February,112.03,-1.5,4.8,11.2
8981,-83.4066,35.7291,502,March,130.81,1.7,8.7,15.8
8981,-83.4066,35.7291,502,April,121.71,5.9,13.4,20.8
8981,-83.4066,35.7291,502,May,127.74,11.0,17.8,24.6
8981,-83.4066,35.7291,502,June,146.30,15.3,21.6,28.0
8981,-83.4066,35.7291,502,July,152.77,17.4,23.4,29.5
8981,-83.4066,35.7291,502,August,116.86,16.7,22.9,29.1
8981,-83.4066,35.7291,502,September,105.42,13.5,20.0,26.5
8981,-83.4066,35.7291,502,October,76.81,6.9,14.0,21.1
8981,-83.4066,35.7291,502,November,99.88,1.2,8.3,15.4
8981,-83.4066,35.7291,502,December,129.15,-1.4,4.5,10.5
8981,-83.4066,35.7291,502,Annual,1436.93,7.0,13.5,20.1

9086,-80.0888,37.3813,534,January,89.40,-3.7,1.4,6.5
9086,-80.0888,37.3813,534,February,81.72,-2.5,3.0,8.5
9086,-80.0888,37.3813,534,March,101.89,1.1,7.0,13.0
9086,-80.0888,37.3813,534,April,93.29,6.3,12.7,19.1
9086,-80.0888,37.3813,534,May,113.57,11.2,17.2,23.3
9086,-80.0888,37.3813,534,June,127.94,15.5,21.3,27.2
9086,-80.0888,37.3813,534,July,109.09,17.8,23.5,29.1
9086,-80.0888,37.3813,534,August,94.38,17.0,22.7,28.4
9086,-80.0888,37.3813,534,September,105.09,13.4,19.3,25.2
9086,-80.0888,37.3813,534,October,84.13,7.2,13.4,19.6
9086,-80.0888,37.3813,534,November,83.05,1.4,7.5,13.6
9086,-80.0888,37.3813,534,December,85.74,-1.8,3.3,8.3
9086,-80.0888,37.3813,534,Annual,1169.30,6.9,12.7,18.5

8806,-83.6890,35.6406,445,January,135.05,-2.7,3.1,8.9
8806,-83.6890,35.6406,445,February,121.99,-1.2,5.0,11.3
8806,-83.6890,35.6406,445,March,138.63,2.1,9.0,15.9
8806,-83.6890,35.6406,445,April,143.47,6.5,13.7,21.0
8806,-83.6890,35.6406,445,May,132.63,11.5,18.0,24.6
8806,-83.6890,35.6406,445,June,148.82,15.8,21.8,27.9
8806,-83.6890,35.6406,445,July,157.80,17.9,23.7,29.4
8806,-83.6890,35.6406,445,August,111.55,17.3,23.2,29.1
8806,-83.6890,35.6406,445,September,111.19,14.1,20.3,26.5
8806,-83.6890,35.6406,445,October,82.01,7.4,14.3,21.2
8806,-83.6890,35.6406,445,November,112.55,1.5,8.6,15.6
8806,-83.6890,35.6406,445,December,138.19,-1.0,4.8,10.6
8806,-83.6890,35.6406,445,Annual,1533.87,7.4,13.8,20.2

9340,-83.6874,35.6424,581,January,135.66,-3.4,2.6,8.6
9340,-83.6874,35.6424,581,February,130.72,-1.9,4.4,10.8
9340,-83.6874,35.6424,581,March,140.30,1.4,8.3,15.2
9340,-83.6874,35.6424,581,April,146.23,5.7,13.0,20.4
9340,-83.6874,35.6424,581,May,133.39,10.6,17.2,23.8
9340,-83.6874,35.6424,581,June,150.10,14.8,20.8,26.9
9340,-83.6874,35.6424,581,July,157.36,16.8,22.6,28.4
9340,-83.6874,35.6424,581,August,112.71,16.4,22.2,28.0
9340,-83.6874,35.6424,581,September,112.35,13.1,19.4,25.6
9340,-83.6874,35.6424,581,October,82.79,6.6,13.5,20.5
9340,-83.6874,35.6424,581,November,112.81,1.1,8.1,15.1
9340,-83.6874,35.6424,581,December,138.72,-1.5,4.4,10.3
9340,-83.6874,35.6424,581,Annual,1553.15,6.6,13.0,19.4

9342,-83.6899,35.6445,445,January,135.05,-2.7,3.1,8.9
9342,-83.6899,35.6445,445,February,121.99,-1.2,5.0,11.3
9342,-83.6899,35.6445,445,March,138.63,2.1,9.0,15.9
9342,-83.6899,35.6445,445,April,143.47,6.5,13.7,21.0
9342,-83.6899,35.6445,445,May,132.63,11.5,18.0,24.6
9342,-83.6899,35.6445,445,June,148.82,15.8,21.8,27.9
9342,-83.6899,35.6445,445,July,157.80,17.9,23.7,29.4
9342,-83.6899,35.6445,445,August,111.55,17.3,23.2,29.1
9342,-83.6899,35.6445,445,September,111.19,14.1,20.3,26.5
9342,-83.6899,35.6445,445,October,82.01,7.4,14.3,21.2
9342,-83.6899,35.6445,445,November,112.55,1.5,8.6,15.6
9342,-83.6899,35.6445,445,December,138.19,-1.0,4.8,10.6
9342,-83.6899,35.6445,445,Annual,1533.87,7.4,13.8,20.2

9343,-83.6959,35.6428,546,January,134.61,-3.3,2.7,8.6
9343,-83.6959,35.6428,546,February,122.78,-1.8,4.5,10.8
9343,-83.6959,35.6428,546,March,137.51,1.6,8.4,15.3
9343,-83.6959,35.6428,546,April,141.96,5.8,13.2,20.6
9343,-83.6959,35.6428,546,May,132.25,10.8,17.4,24.0
9343,-83.6959,35.6428,546,June,148.08,15.0,21.0,27.0
9343,-83.6959,35.6428,546,July,156.90,17.1,22.8,28.6
9343,-83.6959,35.6428,546,August,110.91,16.6,22.4,28.2
9343,-83.6959,35.6428,546,September,110.55,13.3,19.5,25.7
9343,-83.6959,35.6428,546,October,81.47,6.8,13.7,20.6
