"date","ppt","tmin","tmean","tmax","lat","lon","site_name"
"2016-01-01",0,0.3,7.9,15.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-02",0,1.9,9.8,17.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-03",0,7.1,13.3,19.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-04",0,9,14.5,20,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-05",10.01,10.3,12.7,15,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-06",21.34,9.2,10.9,12.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-07",6.23,8.6,10.8,13,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-08",19.99,6.3,8,9.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-09",1.67,4.2,7.4,10.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-10",0,3.1,7.7,12.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-11",0,3.6,7.9,12.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-12",0,2.3,8.4,14.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-13",0,1.9,9.8,17.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-14",0,3.1,10.2,17.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-15",0,3.1,9.5,15.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-16",0,3.7,8.7,13.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-17",0,3,8.9,14.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-18",0,3.9,11.4,18.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-19",0,5,12,19,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-20",0,5.1,11.9,18.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-21",0,7,13.2,19.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-22",0,7.4,13.7,20.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-23",0,6.9,14.4,21.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-24",0,6.8,14.1,21.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-25",0,5.8,11.6,17.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-26",0,6.6,12.2,17.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-27",0,7.1,12.7,18.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-28",0,5.8,12.7,19.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-29",0,6,13.3,20.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-30",0,5.9,13,20.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-01-31",0,6.5,13.9,21.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-01",7.89,7.9,14.6,21.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-02",0,2.1,5.2,8.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-03",0,0.3,5.4,10.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-04",0,-0.2,5.8,11.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-05",0,0.7,8.5,16.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-06",0,4.7,11.5,18.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-07",0,4.6,13.3,21.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-08",0,6.4,15.5,24.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-09",0,10.1,18.4,26.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-10",0,10.8,19.1,27.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-11",0,9.6,18.3,27.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-12",0,10,18.6,27.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-13",0,9.5,18.7,28,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-14",0,9.9,18.6,27.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-15",0,9.1,17.3,25.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-16",0,10.1,18.8,27.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-17",0,11.2,19.8,28.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-18",0,11.1,20,28.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-19",0,12.3,18.9,25.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-20",0,10.9,18.2,25.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-21",0,10,18.7,27.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-22",0,10.4,18.7,27,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-23",0,9.7,18.1,26.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-24",0,11.4,15.9,20.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-25",0,9.1,15.9,22.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-26",0,8.4,17.5,26.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-27",0,11,19.9,28.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-28",0,11.1,19.3,27.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-02-29",0,10.7,19.1,27.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-01",0,12.4,20.2,28,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-02",0,12.4,20.5,28.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-03",0,12.5,20.7,28.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-04",0,12.8,20.7,28.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-05",0,12.5,20.7,28.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-06",0,12.5,19.1,25.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-07",0,10.9,17.7,24.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-08",0,9.2,14.1,19,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-09",0,8.7,14.9,21,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-10",0,9,16.6,24.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-11",0,11.1,19.5,27.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-12",0,11.6,19.7,27.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-13",0,9.4,14.5,19.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-14",0,8.4,15.6,22.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-15",0,11.6,17.8,24,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-16",0,11.7,19.8,27.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-17",0,11.9,20.5,29,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-18",0,12,20.4,28.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-19",0,11.6,20.5,29.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-20",0,13.1,21.6,30.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-21",0,14.4,22.2,30.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-22",0,13.8,22.4,31,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-23",0,13,18.9,24.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-24",0,9.5,16.1,22.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-25",0,8.9,16.9,24.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-26",0,10.8,19.1,27.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-27",0,12.5,20.4,28.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-28",0,11.6,19.7,27.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-29",0,14.7,20.3,25.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-30",0,10.2,14.1,18,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-03-31",0,9.1,13.8,18.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-01",0,8.5,14.6,20.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-02",0,10.7,17.3,24,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-03",0,11.8,19.3,26.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-04",0,12.8,21.2,29.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-05",0,13.3,22.2,31,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-06",0,14.5,22.9,31.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-07",0,18.8,26.7,34.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-08",3.86,15.8,23.3,30.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-09",0,15.7,20.4,25,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-10",0,15.9,20.6,25.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-11",2.84,11.5,14.8,18.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-12",0,11.5,17.1,22.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-13",0,14,19.8,25.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-14",0,15.3,21.9,28.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-15",0,15.3,22.4,29.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-16",0,13,19.6,26.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-17",0,12.8,19,25.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-18",0,14,19.9,25.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-19",0,15.4,21.6,27.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-20",0,14.8,22.6,30.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-21",0,16,24.2,32.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-22",0,16.7,25.3,33.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-23",0,18.5,26,33.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-24",0,14.9,21.8,28.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-25",0,14.9,21.9,28.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-26",0,13.1,19,24.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-27",0,12.6,17.8,23,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-28",0,13.2,19.7,26.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-29",0,15.5,18.7,21.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-04-30",0,15.9,20.5,25.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-01",0,12.8,19,25.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-02",0,13.3,18.6,24,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-03",0,14.9,21.7,28.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-04",0,17.4,24.9,32.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-05",0,19.2,28.1,36.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-06",0,17.8,26.1,34.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-07",0,13.7,19,24.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-08",0,13.4,18.5,23.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-09",0,14.6,19.7,24.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-10",0,14.3,21.1,27.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-11",0,17.1,23.8,30.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-12",0,18.3,25.4,32.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-13",0,19.1,27.7,36.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-14",0,20.7,29,37.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
