PRISM Time Series Data
Location:  Lat: 33.6493   Lon: -111.8585   Elev: 529m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2016-01-01 - 2024-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Jul-16
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2016-01-01,0.00,0.3,8.0,15.6
2016-01-02,0.00,2.0,9.9,17.7
2016-01-03,0.00,7.1,13.3,19.4
2016-01-04,0.00,8.9,14.5,20.1
2016-01-05,10.68,10.4,12.9,15.4
2016-01-06,20.46,9.4,10.9,12.5
2016-01-07,5.61,8.8,11.0,13.3
2016-01-08,18.40,6.5,8.1,9.6
2016-01-09,1.62,4.3,7.5,10.6
2016-01-10,0.00,2.9,7.7,12.4
2016-01-11,0.00,3.5,7.9,12.2
2016-01-12,0.00,2.0,8.2,14.5
2016-01-13,0.00,1.8,9.8,17.7
2016-01-14,0.00,3.0,10.2,17.4
2016-01-15,0.00,3.2,9.5,15.8
2016-01-16,0.00,3.8,8.7,13.7
2016-01-17,0.00,3.1,8.9,14.7
2016-01-18,0.00,4.0,11.3,18.6
2016-01-19,0.00,5.0,12.2,19.3
2016-01-20,0.00,5.0,12.0,18.9
2016-01-21,0.00,7.1,13.3,19.6
2016-01-22,0.00,7.5,13.8,20.2
2016-01-23,0.00,6.8,14.3,21.7
2016-01-24,0.00,6.7,14.2,21.6
2016-01-25,0.00,5.9,11.6,17.4
2016-01-26,0.00,6.8,12.3,17.8
2016-01-27,0.00,7.9,13.2,18.4
2016-01-28,0.00,5.9,12.8,19.7
2016-01-29,0.00,6.0,13.3,20.7
2016-01-30,0.00,6.0,13.1,20.2
2016-01-31,0.00,6.5,14.0,21.4
2016-02-01,10.27,8.2,14.7,21.3
2016-02-02,0.00,2.2,5.4,8.6
2016-02-03,0.00,0.5,5.5,10.6
2016-02-04,0.00,-0.0,5.9,11.8
2016-02-05,0.00,0.9,8.6,16.3
2016-02-06,0.00,5.1,11.9,18.7
2016-02-07,0.00,4.7,13.4,22.2
2016-02-08,0.00,6.6,15.8,25.0
2016-02-09,0.00,10.4,18.6,26.7
2016-02-10,0.00,11.1,19.2,27.3
2016-02-11,0.00,10.1,18.6,27.1
2016-02-12,0.00,10.6,18.9,27.2
2016-02-13,0.00,9.9,18.9,27.9
2016-02-14,0.00,10.5,18.8,27.2
2016-02-15,0.00,9.4,17.4,25.3
2016-02-16,0.00,10.1,18.8,27.4
2016-02-17,0.00,11.5,20.0,28.5
2016-02-18,0.00,11.1,20.0,28.8
2016-02-19,0.00,12.8,19.2,25.6
2016-02-20,0.00,10.8,18.2,25.6
2016-02-21,0.00,10.3,18.9,27.4
2016-02-22,0.00,10.7,18.8,26.9
2016-02-23,0.00,9.8,18.2,26.7
2016-02-24,0.00,12.3,16.4,20.6
2016-02-25,0.00,9.3,16.0,22.8
2016-02-26,0.00,8.6,17.6,26.6
2016-02-27,0.00,11.5,20.2,28.9
2016-02-28,0.00,11.5,19.5,27.4
2016-02-29,0.00,11.2,19.3,27.4
2016-03-01,0.00,13.0,20.5,27.9
2016-03-02,0.00,12.7,20.6,28.4
2016-03-03,0.00,13.0,20.9,28.9
2016-03-04,0.00,13.0,20.9,28.8
2016-03-05,0.00,12.7,20.9,29.0
2016-03-06,0.00,12.8,19.1,25.4
2016-03-07,0.00,11.0,17.7,24.5
2016-03-08,0.00,9.5,14.2,18.9
2016-03-09,0.00,8.8,14.8,20.8
2016-03-10,0.00,9.4,16.8,24.1
2016-03-11,0.00,11.5,19.7,27.9
2016-03-12,0.00,11.4,19.6,27.8
2016-03-13,0.00,9.5,14.6,19.6
2016-03-14,0.00,8.5,15.7,22.8
2016-03-15,0.00,11.9,18.0,24.0
2016-03-16,0.00,12.1,20.0,27.9
2016-03-17,0.00,12.3,20.6,28.9
2016-03-18,0.00,12.3,20.6,28.9
2016-03-19,0.00,12.1,20.8,29.5
2016-03-20,0.00,13.4,21.8,30.2
2016-03-21,0.00,14.8,22.4,30.1
2016-03-22,0.00,14.2,22.7,31.2
2016-03-23,0.00,13.0,18.8,24.6
2016-03-24,0.00,9.5,16.2,22.8
2016-03-25,0.00,9.0,17.1,25.1
2016-03-26,0.00,11.5,19.4,27.4
2016-03-27,0.00,12.5,20.5,28.4
2016-03-28,0.00,11.6,19.7,27.8
2016-03-29,0.00,14.6,20.3,26.0
2016-03-30,0.00,10.2,14.0,17.9
2016-03-31,0.00,9.3,13.9,18.4
2016-04-01,0.00,8.5,14.6,20.6
2016-04-02,0.00,10.7,17.3,24.0
2016-04-03,0.00,11.8,19.3,26.8
2016-04-04,0.00,13.0,21.3,29.6
2016-04-05,0.00,13.3,22.2,31.1
2016-04-06,0.00,14.5,22.9,31.3
2016-04-07,0.00,18.9,26.9,34.9
2016-04-08,3.82,15.9,23.3,30.7
2016-04-09,0.00,15.7,20.4,25.0
2016-04-10,0.00,16.1,20.7,25.2
2016-04-11,3.26,11.5,14.7,18.0
2016-04-12,0.00,11.5,17.2,22.8
2016-04-13,0.00,14.3,20.0,25.7
2016-04-14,0.00,15.4,22.1,28.7
2016-04-15,0.00,15.3,22.3,29.4
2016-04-16,0.00,12.9,19.5,26.2
2016-04-17,0.00,12.8,19.0,25.3
2016-04-18,0.00,13.9,19.9,25.9
2016-04-19,0.00,15.6,21.7,27.8
2016-04-20,0.00,15.1,22.7,30.2
2016-04-21,0.00,16.3,24.3,32.3
2016-04-22,0.00,17.0,25.4,33.9
2016-04-23,0.00,18.5,25.9,33.4
2016-04-24,0.00,15.0,21.8,28.6
2016-04-25,0.00,15.1,22.0,28.9
2016-04-26,0.00,13.3,19.1,24.9
2016-04-27,0.00,12.7,17.8,22.9
2016-04-28,0.00,13.4,19.8,26.2
2016-04-29,0.00,15.5,18.6,21.7
2016-04-30,0.00,15.9,20.4,25.0
2016-05-01,0.76,12.9,19.0,25.2
2016-05-02,0.00,13.4,18.7,24.0
2016-05-03,0.00,14.9,21.6,28.4
2016-05-04,0.00,17.5,24.9,32.3
2016-05-05,0.00,19.3,28.1,36.9
2016-05-06,0.00,17.9,26.1,34.2
2016-05-07,0.00,13.8,19.0,24.3
2016-05-08,0.00,13.5,18.6,23.7
2016-05-09,0.00,14.8,19.9,24.9
2016-05-10,0.00,14.4,21.1,27.7
2016-05-11,0.00,17.3,23.9,30.5
2016-05-12,0.00,18.5,25.4,32.4
2016-05-13,0.00,19.0,27.6,36.2
2016-05-14,0.00,20.8,29.0,37.3
2016-05-15,0.00,21.9,29.0,36.0
2016-05-16,0.00,20.2,26.1,32.1
2016-05-17,0.00,19.7,25.3,31.0
2016-05-18,0.00,19.8,24.9,29.9
2016-05-19,0.00,18.8,23.2,27.6
2016-05-20,0.00,17.8,25.0,32.1
2016-05-21,0.00,20.6,27.4,34.2
2016-05-22,0.00,18.0,24.6,31.3
2016-05-23,0.00,16.8,22.8,28.7
2016-05-24,0.00,17.1,23.3,29.5
2016-05-25,0.00,15.7,22.5,29.3
2016-05-26,0.00,16.8,23.6,30.4
2016-05-27,0.00,16.6,22.0,27.4
2016-05-28,0.00,17.7,24.6,31.6
2016-05-29,0.00,19.4,26.6,33.9
2016-05-30,0.00,18.6,26.4,34.3
2016-05-31,0.00,18.4,25.5,32.7
2016-06-01,0.00,18.9,27.0,35.1
2016-06-02,0.00,22.9,29.8,36.7
2016-06-03,0.00,23.3,31.5,39.6
2016-06-04,0.00,24.8,33.8,42.8
2016-06-05,0.00,25.5,34.6,43.8
2016-06-06,0.00,25.7,34.5,43.3
2016-06-07,0.00,26.2,33.8,41.5
2016-06-08,0.00,25.7,32.2,38.7
2016-06-09,0.00,26.7,32.8,38.9
2016-06-10,0.00,27.3,32.5,37.7
2016-06-11,1.01,24.2,30.0,35.8
2016-06-12,0.30,23.3,29.6,35.9
2016-06-13,0.00,23.9,30.2,36.5
2016-06-14,0.00,23.0,28.7,34.3
2016-06-15,0.00,21.7,28.4,35.1
2016-06-16,0.00,22.4,29.2,35.9
2016-06-17,0.00,23.2,29.6,36.1
2016-06-18,0.00,22.9,30.6,38.3
2016-06-19,0.00,24.5,33.3,42.2
2016-06-20,0.00,28.0,37.1,46.2
2016-06-21,0.00,30.8,37.6,44.5
2016-06-22,0.00,31.1,36.3,41.6
2016-06-23,0.00,30.8,36.2,41.7
2016-06-24,0.00,29.6,35.6,41.6
2016-06-25,0.00,29.4,35.1,40.9
2016-06-26,0.00,28.7,34.4,40.1
2016-06-27,0.00,30.6,34.8,39.0
2016-06-28,0.88,30.3,35.6,41.0
